raman_shift_cm^-1,normalized_intensity
1498.0,0.016314
1500.0,0.018796
1502.0,0.020511
1504.0,0.020537
1506.0,0.019256
1508.0,0.019087
1510.0,0.018413
1512.0,0.019009
1514.0,0.019814
1516.0,0.019469
1518.0,0.017991
1520.0,0.017283
1522.0,0.018576
1524.0,0.020346
1526.0,0.020401
1528.0,0.020911
1530.0,0.022965
1532.0,0.024304
1534.0,0.023736
1536.0,0.023552
1538.0,0.023542
1540.0,0.025203
1542.0,0.025619
1544.0,0.024972
1546.0,0.026279
1548.0,0.028049
1550.0,0.029874
1552.0,0.030743
1554.0,0.03303
1556.0,0.034304
1558.0,0.037738
1560.0,0.043486
1562.0,0.048206
1564.0,0.054601
1566.0,0.067676
1568.0,0.082783
1570.0,0.098533
1572.0,0.118011
1574.0,0.140958
1576.0,0.165443
1578.0,0.188377
1580.0,0.201647
1582.0,0.209487
1584.0,0.200692
1586.0,0.181719
1588.0,0.157777
1590.0,0.128439
1592.0,0.107873
1594.0,0.087312
1596.0,0.068323
1598.0,0.058991
1600.0,0.051121
1602.0,0.044845
1604.0,0.040409
1606.0,0.037693
1608.0,0.034268
1610.0,0.030969
1612.0,0.029445
1614.0,0.027891
1616.0,0.027067
1618.0,0.026708
1620.0,0.025946
1622.0,0.024978
1624.0,0.023209
1626.0,0.021323
1628.0,0.0198
1630.0,0.020115
1632.0,0.020977
1634.0,0.020996
1636.0,0.020516
1638.0,0.019151
1640.0,0.019109
1642.0,0.020287
1644.0,0.020625
1646.0,0.019829
1648.0,0.018593
1650.0,0.016889
1652.0,0.016857
1654.0,0.018661
1656.0,0.020804
1658.0,0.019779
1660.0,0.018184
1662.0,0.018409
1664.0,0.018013
1666.0,0.017742
1668.0,0.017475
1670.0,0.016574
1672.0,0.016854
1674.0,0.018221
1676.0,0.017727
1678.0,0.016795
1680.0,0.016511
1682.0,0.01661
1684.0,0.016484
1686.0,0.015262
1688.0,0.015248
1690.0,0.015254
1692.0,0.015314
1694.0,0.015996
1696.0,0.016627
1698.0,0.017741
1700.0,0.017572
1702.0,0.0167
1704.0,0.015977
1706.0,0.01635
1708.0,0.016567
1710.0,0.016502
1712.0,0.017169
1714.0,0.017889
1716.0,0.017489
1718.0,0.016575
1720.0,0.015746
1722.0,0.015217
1724.0,0.015297
1726.0,0.016368
1728.0,0.016464
1730.0,0.016438
1732.0,0.015065
1734.0,0.014149
1736.0,0.014724
1738.0,0.014739
1740.0,0.014726
1742.0,0.013846
1744.0,0.013972
1746.0,0.015538
1748.0,0.01689
1750.0,0.016667
1752.0,0.016621
1754.0,0.015479
1756.0,0.014666
1758.0,0.014683
1760.0,0.016071
1762.0,0.017104
1764.0,0.017087
1766.0,0.016064
1768.0,0.015256
1770.0,0.014464
1772.0,0.01566
1774.0,0.01548
1776.0,0.01586
1778.0,0.015932
1780.0,0.016517
1782.0,0.017098
1784.0,0.01758
1786.0,0.015948
1788.0,0.013841
1790.0,0.013107
1792.0,0.014143
1794.0,0.016044
1796.0,0.015491
1798.0,0.015008
1800.0,0.016839
1802.0,0.017752
1804.0,0.016851
1806.0,0.015442
1808.0,0.016898
1810.0,0.018369
1812.0,0.018422
1814.0,0.016537
1816.0,0.015235
1818.0,0.014383
1820.0,0.012976
1822.0,0.013627
1824.0,0.014441
1826.0,0.015469
1828.0,0.016715
1830.0,0.017699
1832.0,0.016891
1834.0,0.016592
1836.0,0.017412
1838.0,0.017373
1840.0,0.016052
1842.0,0.016021
1844.0,0.016637
1846.0,0.017606
1848.0,0.017815
1850.0,0.016638
1852.0,0.015503
1854.0,0.016599
1856.0,0.016926
1858.0,0.017236
1860.0,0.018111
1862.0,0.020061
1864.0,0.022038
1866.0,0.022911
1868.0,0.02152
1870.0,0.020382
1872.0,0.019755
1874.0,0.019211
1876.0,0.019732
1878.0,0.020437
1880.0,0.020804
1882.0,0.021038
1884.0,0.021017
1886.0,0.021525
1888.0,0.021365
1890.0,0.020015
1892.0,0.018721
1894.0,0.019478
1896.0,0.019543
1898.0,0.018533
1900.0,0.019666
1902.0,0.019733
1904.0,0.019632
1906.0,0.019358
1908.0,0.017719
1910.0,0.01721
1912.0,0.0173
1914.0,0.016218
1916.0,0.015374
1918.0,0.01546
1920.0,0.017403
1922.0,0.017841
1924.0,0.018465
1926.0,0.019042
1928.0,0.019003
1930.0,0.019066
1932.0,0.018166
1934.0,0.016551
1936.0,0.01558
1938.0,0.015315
1940.0,0.01623
1942.0,0.017695
1944.0,0.018445
1946.0,0.017485
1948.0,0.015713
1950.0,0.01554
1952.0,0.01709
1954.0,0.017789
1956.0,0.01725
1958.0,0.016754
1960.0,0.017668
1962.0,0.018271
1964.0,0.017247
1966.0,0.01661
1968.0,0.01697
1970.0,0.017687
1972.0,0.017922
1974.0,0.01842
1976.0,0.018277
1978.0,0.016479
1980.0,0.01544
1982.0,0.01657
1984.0,0.016599
1986.0,0.016538
1988.0,0.017492
1990.0,0.018475
1992.0,0.01809
1994.0,0.01779
1996.0,0.018102
1998.0,0.017556
2000.0,0.017041
2002.0,0.017851
2004.0,0.019284
2006.0,0.021302
2008.0,0.021663
2010.0,0.020574
2012.0,0.021795
2014.0,0.022256
2016.0,0.021466
2018.0,0.021752
2020.0,0.024328
2022.0,0.025329
2024.0,0.02454
2026.0,0.022721
2028.0,0.021557
2030.0,0.021374
2032.0,0.02059
2034.0,0.019516
2036.0,0.018541
2038.0,0.019585
2040.0,0.021365
2042.0,0.022339
2044.0,0.021601
2046.0,0.020415
2048.0,0.020656
2050.0,0.021617
2052.0,0.021438
2054.0,0.020574
2056.0,0.018954
2058.0,0.017329
2060.0,0.017358
2062.0,0.018454
2064.0,0.018578
2066.0,0.020646
2068.0,0.021555
2070.0,0.0216
2072.0,0.020271
2074.0,0.019669
2076.0,0.020324
2078.0,0.020442
2080.0,0.01888
2082.0,0.018673
2084.0,0.01984
2086.0,0.020901
2088.0,0.01979
2090.0,0.018154
2092.0,0.017825
2094.0,0.017899
2096.0,0.018224
2098.0,0.018356
2100.0,0.017519
2102.0,0.017317
2104.0,0.017598
2106.0,0.016755
2108.0,0.01616
2110.0,0.017042
2112.0,0.017803
2114.0,0.017803
2116.0,0.018973
2118.0,0.019139
2120.0,0.019555
2122.0,0.019924
2124.0,0.019803
2126.0,0.019074
2128.0,0.018829
2130.0,0.018073
2132.0,0.01716
2134.0,0.017567
2136.0,0.018681
2138.0,0.01928
2140.0,0.018448
2142.0,0.017752
2144.0,0.018319
2146.0,0.019638
2148.0,0.019194
2150.0,0.017695
2152.0,0.017228
2154.0,0.018421
2156.0,0.018438
2158.0,0.017878
2160.0,0.017985
2162.0,0.018527
2164.0,0.01836
2166.0,0.018393
2168.0,0.019113
2170.0,0.019153
2172.0,0.019098
2174.0,0.019682
2176.0,0.022333
2178.0,0.02393
2180.0,0.02261
2182.0,0.021029
2184.0,0.019255
2186.0,0.017984
2188.0,0.018288
2190.0,0.017477
2192.0,0.017758
2194.0,0.019073
2196.0,0.020397
2198.0,0.020979
2200.0,0.021025
2202.0,0.021136
2204.0,0.021141
2206.0,0.021671
2208.0,0.020222
2210.0,0.018658
2212.0,0.018996
2214.0,0.019711
2216.0,0.01905
2218.0,0.018671
2220.0,0.018568
2222.0,0.019373
2224.0,0.019706
2226.0,0.019663
2228.0,0.018829
2230.0,0.017154
2232.0,0.017348
2234.0,0.01914
2236.0,0.021191
2238.0,0.021695
2240.0,0.02001
2242.0,0.018632
2244.0,0.017849
2246.0,0.018586
2248.0,0.019089
2250.0,0.019299
2252.0,0.020704
2254.0,0.020966
2256.0,0.020106
2258.0,0.017967
2260.0,0.018234
2262.0,0.018552
2264.0,0.017975
2266.0,0.016754
2268.0,0.017257
2270.0,0.017191
2272.0,0.01731
2274.0,0.01911
2276.0,0.020938
2278.0,0.02078
2280.0,0.01977
2282.0,0.018277
2284.0,0.017864
2286.0,0.017284
2288.0,0.017132
2290.0,0.017797
2292.0,0.01791
2294.0,0.017359
2296.0,0.017346
2298.0,0.018244
2300.0,0.017948
2302.0,0.017781
2304.0,0.018431
2306.0,0.019299
2308.0,0.019788
2310.0,0.020051
2312.0,0.021453
2314.0,0.021038
2316.0,0.019142
2318.0,0.017818
2320.0,0.01802
2322.0,0.018426
2324.0,0.017771
2326.0,0.01784
2328.0,0.017854
2330.0,0.018799
2332.0,0.02019
2334.0,0.019961
2336.0,0.018272
2338.0,0.019359
2340.0,0.020737
2342.0,0.020921
2344.0,0.019214
2346.0,0.018937
2348.0,0.019188
2350.0,0.019052
2352.0,0.020337
2354.0,0.022018
2356.0,0.022294
2358.0,0.021347
2360.0,0.021459
2362.0,0.02194
2364.0,0.020566
2366.0,0.019922
2368.0,0.020731
2370.0,0.01926
2372.0,0.017586
2374.0,0.017288
2376.0,0.018693
2378.0,0.019064
2380.0,0.019148
2382.0,0.020379
2384.0,0.021044
2386.0,0.019968
2388.0,0.019124
2390.0,0.01994
2392.0,0.020424
2394.0,0.02033
2396.0,0.021294
2398.0,0.022808
2400.0,0.02331
2402.0,0.022332
2404.0,0.022251
2406.0,0.021937
2408.0,0.02037
2410.0,0.019721
2412.0,0.020287
2414.0,0.020599
2416.0,0.021023
2418.0,0.021618
2420.0,0.021707
2422.0,0.021734
2424.0,0.022583
2426.0,0.024061
2428.0,0.025307
2430.0,0.027001
2432.0,0.028238
2434.0,0.030052
2436.0,0.034295
2438.0,0.037889
2440.0,0.041104
2442.0,0.046229
2444.0,0.049466
2446.0,0.051721
2448.0,0.053874
2450.0,0.055351
2452.0,0.057874
2454.0,0.059055
2456.0,0.057662
2458.0,0.054618
2460.0,0.052091
2462.0,0.049554
2464.0,0.045926
2466.0,0.043882
2468.0,0.040572
2470.0,0.037445
2472.0,0.035479
2474.0,0.035061
2476.0,0.036025
2478.0,0.035635
2480.0,0.033652
2482.0,0.032003
2484.0,0.030726
2486.0,0.031041
2488.0,0.031164
2490.0,0.030638
2492.0,0.031193
2494.0,0.030823
2496.0,0.028988
2498.0,0.028714
2500.0,0.030069
2502.0,0.030546
2504.0,0.029924
2506.0,0.028033
2508.0,0.025946
2510.0,0.025081
2512.0,0.024876
2514.0,0.02562
2516.0,0.027335
2518.0,0.02685
2520.0,0.025593
2522.0,0.025518
2524.0,0.025059
2526.0,0.024327
2528.0,0.024826
2530.0,0.024809
2532.0,0.023334
2534.0,0.022345
2536.0,0.023468
2538.0,0.024696
2540.0,0.024185
2542.0,0.024147
2544.0,0.024735
2546.0,0.024195
2548.0,0.02364
2550.0,0.023798
2552.0,0.024239
2554.0,0.024236
2556.0,0.02488
2558.0,0.025517
2560.0,0.025508
2562.0,0.0255
2564.0,0.026258
2566.0,0.027099
2568.0,0.025904
2570.0,0.023926
2572.0,0.023002
2574.0,0.023534
2576.0,0.022532
2578.0,0.023002
2580.0,0.024773
2582.0,0.026057
2584.0,0.025461
2586.0,0.024306
2588.0,0.025037
2590.0,0.025955
2592.0,0.025993
2594.0,0.025241
2596.0,0.025586
2598.0,0.026445
2600.0,0.027868
2602.0,0.029898
2604.0,0.030004
2606.0,0.029052
2608.0,0.027663
2610.0,0.02745
2612.0,0.028682
2614.0,0.029167
2616.0,0.029476
2618.0,0.030888
2620.0,0.031835
2622.0,0.032148
2624.0,0.032999
2626.0,0.032532
2628.0,0.032941
2630.0,0.033969
2632.0,0.034369
2634.0,0.034985
2636.0,0.036252
2638.0,0.038087
2640.0,0.040486
2642.0,0.042842
2644.0,0.045612
2646.0,0.047804
2648.0,0.050014
2650.0,0.054363
2652.0,0.057706
2654.0,0.061223
2656.0,0.068215
2658.0,0.074705
2660.0,0.083737
2662.0,0.097818
2664.0,0.109304
2666.0,0.131135
2668.0,0.158699
2670.0,0.189333
2672.0,0.237288
2674.0,0.305258
2676.0,0.383314
2678.0,0.483425
2680.0,0.586585
2682.0,0.702884
2684.0,0.817364
2686.0,0.903579
2688.0,0.959853
2690.0,0.999282
2692.0,0.98996
2694.0,0.95317
2696.0,0.908472
2698.0,0.837597
2700.0,0.762928
2702.0,0.693421
2704.0,0.61884
2706.0,0.545553
2708.0,0.474547
2710.0,0.411539
2712.0,0.352377
2714.0,0.30073
2716.0,0.257031
2718.0,0.218972
2720.0,0.192361
2722.0,0.167767
2724.0,0.151428
2726.0,0.137505
2728.0,0.125939
2730.0,0.110418
2732.0,0.102561
2734.0,0.09421
2736.0,0.085189
2738.0,0.078898
2740.0,0.073739
2742.0,0.071927
2744.0,0.066817
2746.0,0.06212
2748.0,0.05987
2750.0,0.055976
2752.0,0.052289
2754.0,0.049444
2756.0,0.047182
2758.0,0.043561
2760.0,0.042192
2762.0,0.041148
2764.0,0.040304
2766.0,0.039341
2768.0,0.038471
2770.0,0.036877
2772.0,0.036632
2774.0,0.037397
2776.0,0.035543
2778.0,0.034054
2780.0,0.033711
2782.0,0.033463
2784.0,0.033059
2786.0,0.03281
2788.0,0.033659
2790.0,0.032469
2792.0,0.032849
2794.0,0.033164
2796.0,0.032828
2798.0,0.031724
2800.0,0.03058
2802.0,0.031064
2804.0,0.031187
2806.0,0.03114
2808.0,0.031314
2810.0,0.031466
2812.0,0.029302
2814.0,0.027554
2816.0,0.025735
2818.0,0.026855
2820.0,0.032027
2822.0,0.034421
2824.0,0.034739
2826.0,0.033089
2828.0,0.027303
2830.0,0.026096
2832.0,0.026875
2834.0,0.028339
2836.0,0.029116
2838.0,0.027566
2840.0,0.026774
2842.0,0.02745
2844.0,0.02741
2846.0,0.027364
2848.0,0.028234
2850.0,0.029342
2852.0,0.028937
2854.0,0.027496
2856.0,0.026743
2858.0,0.026747
2860.0,0.026112
2862.0,0.025292
2864.0,0.024822
2866.0,0.025442
2868.0,0.024987
2870.0,0.024257
2872.0,0.025197
2874.0,0.027704
2876.0,0.029595
2878.0,0.029738
2880.0,0.027982
2882.0,0.026286
2884.0,0.025367
2886.0,0.024794
2888.0,0.02351
2890.0,0.023733
2892.0,0.024906
2894.0,0.025412
2896.0,0.024374
2898.0,0.023206
2900.0,0.023592
2902.0,0.024256
2904.0,0.024243
2906.0,0.024964
2908.0,0.026374
2910.0,0.026277
2912.0,0.024683
2914.0,0.023325
2916.0,0.022995
2918.0,0.023297
2920.0,0.024167
2922.0,0.024594
2924.0,0.024412
2926.0,0.024132
2928.0,0.025072
2930.0,0.025303
2932.0,0.023905
2934.0,0.023014
2936.0,0.023429
2938.0,0.024575
2940.0,0.025917
2942.0,0.027136
2944.0,0.027089
2946.0,0.024867
2948.0,0.023594
2950.0,0.023472
2952.0,0.024774
2954.0,0.025249
2956.0,0.023196
2958.0,0.022306
2960.0,0.022247
2962.0,0.024036
2964.0,0.025121
2966.0,0.025943
2968.0,0.026607
2970.0,0.025515
2972.0,0.024242
2974.0,0.024549
2976.0,0.024935
2978.0,0.023995
2980.0,0.02223
2982.0,0.021159
2984.0,0.022449
2986.0,0.024226
2988.0,0.024773
2990.0,0.023645
2992.0,0.022287
2994.0,0.02267
2996.0,0.021868
2998.0,0.020494
3000.0,0.020517
